title,sub,category,impact,emoji,comparison,comment,action_title,action_desc,action_level,action_points,action_saving
100 Emails,Messaging,DIGITAL,0.02,📧,~20 kg/year if you send 10000 emails,Most of that footprint comes from the data centres storing and routing your messages — not your device,,,,,
10 Hour Streaming,Video streaming,DIGITAL,0.8,📺,Streaming accounts for ~80% of internet traffic,Digital sector produces 4% of GHG projected to reach 14% by 2040,,,,,
1 Banana,Single fruit,FOOD,0.11,🍌,~20 kg/year eating one every second day,One of the lowest-footprint foods you can buy — bananas travel by ship not plane and need no packaging,,,,,
1kg Potatoes,Production,FOOD,0.3,🥔,~25kg/year in average per person in Ireland,"On average, people in Ireland eat between 85 kg and 96 kg of potatoes per person every year.",,,,,
1 Bag of Tayto,Single packet 25g,FOOD,0.08,🥔,~6 kg/year if you have one every day,Crisp production is energy-intensive; packaging adds to footprint,,,,,
1 Pint of Guinness,Draught pint,FOOD,0.5,🍺,~30 kg/year for a pint a day,Diageo has committed to net zero operations by 2030,,,,,
1kg Irish Butter,Production,FOOD,8.8,🧈,~33 kg/year at typical household use,Irish dairy has one of the lower emissions intensities in Europe but is still significant,,,,,
1kg Cheddar Cheese,Production,FOOD,9.8,🧀,Cheese requires ~10L of milk per kg,Dairy is Ireland's biggest agricultural emission source,,,,,
1kg Chicken,Meat production,FOOD,6.9,🍗,Chicken has ~10x lower footprint than beef; still significantly higher than plant protein,Chicken is one of the better meat choices for the climate — but lentils or beans have a 10x lower footprint again,,,,,
1 Litre Oat Milk,Production,FOOD,0.9,🥛,vs ~3.2 kg for cow's milk,Oat milk uses ~80% less land and ~60% less water than dairy milk,,,,,
1 Litre Cow's Milk,Production,FOOD,3.2,🥛,~1.2 t/year for a family of 4 drinking 1L/day,Ireland is one of Europe's largest dairy exporters,,,,,
1 Washing Load,40°C cycle,HOUSEHOLD,0.7,👕,Most emissions come from the energy to warm up the water,Washing at 30°C instead of 40°C cuts energy use by about 40% — and modern detergents work just as well,,,,,
10 Min Shower,Hot water,HOUSEHOLD,2.1,🚿,~760 kg CO₂/year if you shower daily,Cutting a 10-minute shower to 4 minutes roughly halves the footprint — and saves on hot water bills too,,,,,
1 Tumble Dryer Load,Single cycle,HOUSEHOLD,1.8,🌀,~280 kg/year if used daily,Air drying clothes saves the full amount; dryers are among the most energy-hungry home appliances,,,,,
1 Dishwasher Cycle,Standard cycle,HOUSEHOLD,0.7,🍽️,Similar footprint to a washing machine load at 40°C,Roughly equivalent to a washing machine load; newer A-rated models use significantly less energy,,,,,
Heating Home 1 Day,Gas boiler average,HOUSEHOLD,12,🔥,~4400 kg/year for a typical Irish home,Over half of Irish homes use gas or oil for heating; heat pumps cut this by 50-70%,,,,,
LED Bulb vs Halogen,Per year of use,HOUSEHOLD,20,💡,Switching all bulbs in a home saves ~80 kg/year,LED uses ~80% less energy; halogen bulbs are now banned for sale in the EU,,,,,
1 Pizza,Average size,FOOD,1.5,🍕,~78 kg/year if you eat one every week,The cheese topping accounts for nearly half the pizza's total footprint,,,,,
