title,sub,category,impact,emoji,comparison,comment
1 Email,Single message,DIGITAL,0.002,📧,~20 kg/year if you send 10000 emails,
1 Hour Streaming,Video streaming,DIGITAL,0.08,📺,Streaming accounts for ~80% of internet traffic,Digital sector produces 4% of GHG projected to reach 14% by 2040
1 Banana,Single fruit,FOOD,0.11,🍌,~20 kg/year eating one every second day,
1kg Potatoes,Production,FOOD,0.3,🥔,,
1 Washing Load,40°C cycle,HOUSEHOLD,0.7,👕,,
1 Pizza,Average size,FOOD,1.5,🍕,,
10 Min Shower,Hot water,HOUSEHOLD,2.1,🚿,,
1 Cheeseburger,Single serving,FOOD,3.2,🍔,~166 kg/year if eaten weekly,
100km by Train,Rail travel,TRANSPORT,6,🚆,,
1 Coffee (1kg beans),Production,FOOD,15,☕,~180 kg/year at 1 kg/month,Coffee production requires significant water consumption
100km by Car,Petrol average,TRANSPORT,25,🚗,~4000 kg/year at 16000 km driven,Excludes manufacturing; also causes local air pollution and health impacts
1kg Lamb,Meat production,FOOD,28,🐑,,
1 Pair Leather Shoes,Production,FASHION,30,👞,,
1kg Beef,Meat production,FOOD,60,🥩,,
1 Smartphone,Manufacturing,DIGITAL,70,📱,,
1 Bicycle,Manufacturing,TRANSPORT,96,🚲,,
Paris Olympics Visit,Per visitor,SPORT,125,🏅,1.6 Mt total for 13-16M visitors,Lower than Tokyo; half of London Olympics impact
1 Laptop,Manufacturing,DIGITAL,300,💻,,
Dublin–Madrid Flight,Return economy,TRANSPORT,550,✈️,2.2 tonnes/year for 4 yearly trips,
1 Year Digital Life,Email streaming etc.,DIGITAL,636,🌐,1844 kg/year for a 2.9-person household,Digital sector produces 4% of GHG projected to reach 14% by 2040
1 Year Pet Dog,Annual care,HOUSEHOLD,770,🐕,,
1 Ton Cement,Production,CONSTRUCTION,900,🏗️,~200 kg for a 10 m² terrace (10 cm thick),
1 Year Food Waste,Household average,FOOD,1600,🗑️,~30% of food is wasted,Waste generates methane; a major impact-reduction opportunity
NY–London Flight,Return economy,TRANSPORT,1800,🛫,Business class is even higher,Aviation represents 2.5% of global emissions; very inequitably distributed
$10K in a Dirty Bank,Yearly lending impact,FINANCE,2400,🏦,,20-30% of bank lending goes to carbon-intensive industry
New Small Car,Citroen C1 manufacturing,TRANSPORT,4000,🚙,,
New Range Rover,Manufacturing,TRANSPORT,25000,🏎️,,
